Symbol,Name,Sector
AAPL,Apple Inc. Common Stock,Technology
MSFT,Microsoft Corporation Common Stock,Technology
GOOG,Alphabet Inc. Class C Capital Stock,Technology
AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary
NVDA,NVIDIA Corporation Common Stock,Technology
META,Meta Platforms Inc. Class A Common Stock,Technology
TSLA,Tesla Inc. Common Stock,Consumer Discretionary
LLY,Eli Lilly and Company Common Stock,Health Care
V,Visa Inc.,Consumer Discretionary
UNH,UnitedHealth Group Incorporated Common Stock (DE),Health Care
JPM,JP Morgan Chase & Co. Common Stock,Finance
XOM,Exxon Mobil Corporation Common Stock,Energy
WMT,Walmart Inc. Common Stock,Consumer Discretionary
AVGO,Broadcom Inc. Common Stock,Technology
MA,Mastercard Incorporated Common Stock,Consumer Discretionary
JNJ,Johnson & Johnson Common Stock,Health Care
PG,Procter & Gamble Company (The) Common Stock,Consumer Discretionary
ORCL,Oracle Corporation Common Stock,Technology
HD,Home Depot Inc. (The) Common Stock,Consumer Discretionary
ADBE,Adobe Inc. Common Stock,Technology
CVX,Chevron Corporation Common Stock,Energy
MRK,Merck & Company Inc. Common Stock (new),Health Care
COST,Costco Wholesale Corporation Common Stock,Consumer Discretionary
KO,Coca-Cola Company (The) Common Stock,Consumer Staples
ABBV,AbbVie Inc. Common Stock,Health Care
BAC,Bank of America Corporation Common Stock,Finance
PEP,PepsiCo Inc. Common Stock,Consumer Staples
CRM,Salesforce Inc. Common Stock,Technology
ACN,Accenture plc Class A Ordinary Shares (Ireland),Consumer Discretionary
NFLX,Netflix Inc. Common Stock,Consumer Discretionary
